name,firstName,lastName,slug,shortName,position,jerseyNumber,userCount,gender,sofascoreId,country,id,marketValueCurrency,fieldTranslations,height,dateOfBirthTimestamp,proposedMarketValueRaw,teamId,shirtNumber,jerseyNumber,position,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,punches,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,passValueNormalized,defensiveValueNormalized,statisticsType,aerialLost,aerialWon,duelLost,duelWon,challengeLost,outfielderBlock,interceptionWon,wasFouled,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,dribbleValueNormalized,dispossessed,shotOffTarget,fouls,expectedGoals,shotValueNormalized,totalCross,totalContest,wonContest,blockedScoringAttempt,totalTackle,wonTackle,onTargetScoringAttempt,goals,unsuccessfulTouch,expectedGoalsOnTarget,bestBallCarryProgression,totalProgressiveBallCarriesDistance,keyPass,accurateCross,bigChanceCreated,penaltyWon,totalOffside,bigChanceMissed,goodHighClaim,savedShotsFromInsideTheBox,penaltyFaced,saves,keeperSaveValue,goalsPrevented,goalkeeperValueNormalized,penaltyConceded,errorLeadToAGoal,teamName,captain,match_id
Jia Du,,,jia-du,J. Du,G,1,8,M,ha77pc,"{'alpha2': 'CN', 'alpha3': 'CHN', 'name': 'China', 'slug': 'china'}",797404,EUR,"{'nameTranslation': {'ar': 'جيا دو', 'ru': 'Цзя Ду'}, 'shortNameTranslation': {'ar': 'ج. دو', 'ru': 'Ц. Ду'}}",185.0,736214400.0,"{'value': 45000, 'currency': 'EUR'}",196341,1,1,G,False,26.0,21.0,8.0,3.0,0.0,21.0,23.0,,3.0,2.0,7.0,2.0,90.0,36.0,6.6,5.0,0.000108,"{'original': 6.6, 'alternative': 6.8}",0,0.05,-0.33,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,1.0,,,,1.0,36.995576454399,7.0,31.974104702492,0.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,1.0,3.0,0.5341,-0.6941,0.28,,,Jiangxi Dingnan United,,15657854
Yetong Cheng,,,yetong-chang,Y. Cheng,D,28,1,M,tdkab4,"{'alpha2': 'CN', 'alpha3': 'CHN', 'name': 'China', 'slug': 'china'}",1528090,EUR,"{'nameTranslation': {'ar': 'يتونغ تشينغ', 'ru': 'Етонг Ченг'}, 'shortNameTranslation': {'ar': 'ي. تشينغ', 'ru': 'Е. Ченг'}}",175.0,951696000.0,"{'value': 77000, 'currency': 'EUR'}",196341,28,28,D,False,13.0,11.0,1.0,,0.0,7.0,8.0,4.0,5.0,1.0,6.0,,45.0,23.0,6.6,4.0,0.00652166,"{'original': 6.6, 'alternative': 6.7}",0,0.02,-0.12,"{'sportSlug': 'football', 'statisticsType': 'player'}",,1.0,,3.0,,,,,49.09434833265,6.0,11.348631232571,0.0,0.04,,,,,,2.0,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,Jiangxi Dingnan United,,15657854
Wang Sihan,Wang,Sihan,wang-sihan,W. Sihan,D,27,0,M,ikxnwh,"{'alpha2': 'CN', 'alpha3': 'CHN', 'name': 'China', 'slug': 'china'}",2184411,EUR,"{'nameTranslation': {'ar': 'وانغ سيهان', 'ru': 'Ван Сихань'}, 'shortNameTranslation': {'ar': 'و. سيهان', 'ru': 'В. Сихань'}}",189.0,702259200.0,,196341,27,27,D,False,74.0,68.0,3.0,3.0,0.0,43.0,44.0,25.0,30.0,1.0,8.0,,90.0,91.0,6.7,8.0,0.0171531,"{'original': 6.7, 'alternative': 7}",2,0.18,-0.41,"{'sportSlug': 'football', 'statisticsType': 'player'}",1.0,2.0,4.0,9.0,,,,2.0,159.74128363592,26.0,75.260951002049,0.0,0.05,1.0,2.0,1.0,0.0477,-0.3,,4.0,3.0,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,Jiangxi Dingnan United,,15657854
Daciel Santos,Daciel,Santos,daciel-santos,D. Santos,D,4,38,M,rsut3v,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",1018722,EUR,"{'nameTranslation': {'ar': 'داسيل سانتوس', 'ru': 'Дасиль Сантос'}, 'shortNameTranslation': {'ar': 'د. سانتوس', 'ru': 'Д. Сантос'}}",189.0,849225600.0,"{'value': 385000, 'currency': 'EUR'}",196341,4,4,D,False,56.0,46.0,10.0,5.0,0.0,32.0,36.0,14.0,20.0,3.0,6.0,,90.0,73.0,7.4,12.0,0.0334603,"{'original': 7.4, 'alternative': 7.4}",0,0.32,-0.13,"{'sportSlug': 'football', 'statisticsType': 'player'}",2.0,8.0,3.0,11.0,,2.0,3.0,4.0,182.4179477069,26.0,97.913437356573,0.0,0.17,,,2.0,,,,,,,1.0,1.0,,,2.0,,,,3.0,,,,,,,,,,,,,,,Jiangxi Dingnan United,,15657854
Du Junpeng,Du Junpeng,,du-junpeng,D. Junpeng,D,23,1,M,g8abws,"{'alpha2': 'CN', 'alpha3': 'CHN', 'name': 'China', 'slug': 'china'}",1655873,EUR,"{'nameTranslation': {'ar': 'دو جونبينغ', 'ru': 'Ду Цзюньпэн'}, 'shortNameTranslation': {'ar': 'د. جونبينغ', 'ru': 'Д. Цзюньпэн'}}",185.0,666835200.0,"{'value': 24000, 'currency': 'EUR'}",196341,23,23,D,False,45.0,37.0,7.0,4.0,0.0,26.0,29.0,11.0,16.0,2.0,,,90.0,54.0,5.9,10.0,0.104129,"{'original': 5.9, 'alternative': 6}",0,0.25,-0.68,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,3.0,1.0,2.0,,,,121.35547713987,19.0,40.217552013739,0.0,0.01,,,1.0,,,2.0,,,,1.0,1.0,,,1.0,,,,2.0,1.0,,,,,,,,,,,,1.0,,Jiangxi Dingnan United,,15657854
Fan Bojian,,,bojian-fan,F. Bojian,M,18,3,M,q4929a,"{'alpha2': 'CN', 'alpha3': 'CHN', 'name': 'China', 'slug': 'china'}",987012,EUR,"{'nameTranslation': {'ar': 'بوجيان، فان', 'ru': 'Фан Бодзян'}, 'shortNameTranslation': {'ar': 'ف. بوجيان', 'ru': 'Ф. Бодзян'}}",182.0,859248000.0,"{'value': 71000, 'currency': 'EUR'}",196341,18,18,M,False,23.0,16.0,,,0.0,6.0,6.0,10.0,17.0,,3.0,,81.0,36.0,6.1,11.0,0.00964255,"{'original': 6.1, 'alternative': 6.8}",3,-0.41,-0.12,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,2.0,4.0,,,,2.0,58.732350007651,9.0,12.239374679383,0.0,0.05,,3.0,1.0,0.0714,-0.43,1.0,1.0,,,2.0,1.0,,,2.0,,,,1.0,,,,,,,,,,,,,,,Jiangxi Dingnan United,True,15657854
Zhu Jiaxuan,Zhu Jiaxuan,,zhu-jiaxuan,Z. Jiaxuan,M,6,2,M,8jvm22,"{'alpha2': 'CN', 'alpha3': 'CHN', 'name': 'China', 'slug': 'china'}",1046272,EUR,"{'nameTranslation': {'ar': 'تشو جياشوان', 'ru': 'Чжу Цзясюань'}, 'shortNameTranslation': {'ar': 'ت. جياشوان', 'ru': 'Ч. Цзясюань'}}",185.0,923961600.0,"{'value': 105000, 'currency': 'EUR'}",196341,6,6,M,False,33.0,27.0,3.0,1.0,0.0,19.0,22.0,8.0,11.0,1.0,4.0,,61.0,41.0,5.9,7.0,0.00688197,"{'original': 5.9, 'alternative': 5.9}",0,0.01,-0.33,"{'sportSlug': 'football', 'statisticsType': 'player'}",,1.0,2.0,1.0,,1.0,1.0,,85.015960955792,9.0,47.133492505,0.0,0.05,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,Jiangxi Dingnan United,,15657854
Li Zhi,Li Zhi,,li-zhi,L. Zhi,D,16,3,M,b7hc5r,"{'alpha2': 'CN', 'alpha3': 'CHN', 'name': 'China', 'slug': 'china'}",1171321,EUR,"{'nameTranslation': {'ar': 'لي تشي', 'ru': 'Ли Чжи'}, 'shortNameTranslation': {'ar': 'ل. تشي', 'ru': 'Л. Чжи'}}",178.0,743904000.0,"{'value': 24000, 'currency': 'EUR'}",196341,16,16,M,False,36.0,18.0,11.0,4.0,0.0,2.0,3.0,16.0,33.0,1.0,1.0,,90.0,66.0,6.8,30.0,0.178762,"{'original': 6.8, 'alternative': 6.9}",0,0.19,-0.19,"{'sportSlug': 'football', 'statisticsType': 'player'}",,1.0,2.0,4.0,1.0,,,1.0,129.37509668727,16.0,44.184419294132,0.0,0.26,1.0,,,,,9.0,,,,2.0,2.0,,,1.0,,,,4.0,3.0,,,,,,,,,,,,,,Jiangxi Dingnan United,,15657854
Hu Jiajin,Hu Jiajin,,hu-jiajin,H. Jiajin,M,21,9,M,xz9v9c,"{'alpha2': 'CN', 'alpha3': 'CHN', 'name': 'China', 'slug': 'china'}",1215959,EUR,"{'nameTranslation': {'ar': 'هو جياجين', 'ru': 'Ху Цзяцзинь'}, 'shortNameTranslation': {'ar': 'ه. جياجين', 'ru': 'Х. Цзяцзинь'}}",175.0,1111363200.0,"{'value': 70000, 'currency': 'EUR'}",196341,21,21,F,False,25.0,15.0,,,0.0,10.0,13.0,5.0,12.0,,,,45.0,28.0,6.3,12.0,0.00638898,"{'original': 6.3, 'alternative': 6.5}",0,-0.14,-0.02,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,24.779994407436,6.0,8.2457772167869,0.0,0.06,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,Jiangxi Dingnan United,,15657854
Erikys,,,erikys,Erikys,F,11,27,M,8e388w,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",870665,EUR,"{'nameTranslation': {'ar': 'إيريكيس', 'ru': 'Эрикис'}, 'shortNameTranslation': {'ar': 'إيريكيس', 'ru': 'Эрикис'}}",185.0,800496000.0,"{'value': 580000, 'currency': 'EUR'}",196341,11,11,F,False,18.0,15.0,3.0,3.0,0.0,4.0,4.0,11.0,14.0,,2.0,,90.0,26.0,6.7,3.0,0.0114085,"{'original': 6.7, 'alternative': 6.9}",3,-0.21,-0.08,"{'sportSlug': 'football', 'statisticsType': 'player'}",,1.0,2.0,5.0,2.0,,,3.0,40.349715369247,8.0,24.09496968863,0.0,0.12,,2.0,1.0,142,-0.45,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,Jiangxi Dingnan United,,15657854
