name,firstName,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,country,id,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,lastName,teamId,shirtNumber,jerseyNumber,position,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,goalsPrevented,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,totalCross,duelLost,duelWon,totalContest,wonContest,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,bestBallCarryProgression,totalProgressiveBallCarriesDistance,keyPass,aerialLost,aerialWon,shotOffTarget,onTargetScoringAttempt,goals,outfielderBlock,interceptionWon,expectedGoals,expectedGoalsOnTarget,shotValueNormalized,bigChanceMissed,dispossessed,blockedScoringAttempt,accurateCross,challengeLost,bigChanceCreated,clearanceOffLine,totalOffside,teamName,captain,match_id
Jia Du,,jia-du,J. Du,G,1,185.0,8,M,ha77pc,"{'alpha2': 'CN', 'alpha3': 'CHN', 'name': 'China', 'slug': 'china'}",797404,EUR,736214400,"{'value': 45000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيا دو', 'ru': 'Цзя Ду'}, 'shortNameTranslation': {'ar': 'ج. دو', 'ru': 'Ц. Ду'}}",,196341,1,1,G,False,9.0,7.0,4.0,2.0,0.0,6.0,6.0,1.0,3.0,,3.0,,,,,,41.0,12.0,6.7,2.0,8.641e-05,,,,,,"{'original': 6.7, 'alternative': 6.7}",0,,0.02,,0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,1.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,Jiangxi Dingnan United,,15657868
Du Junpeng,Du Junpeng,du-junpeng,D. Junpeng,D,23,185.0,1,M,g8abws,"{'alpha2': 'CN', 'alpha3': 'CHN', 'name': 'China', 'slug': 'china'}",1655873,EUR,666835200,"{'value': 24000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دو جونبينغ', 'ru': 'Ду Цзюньпэн'}, 'shortNameTranslation': {'ar': 'د. جونبينغ', 'ru': 'Д. Цзюньпэн'}}",,196341,23,23,D,False,23.0,14.0,6.0,2.0,2.0,8.0,10.0,6.0,13.0,3.0,2.0,,,,,,90.0,36.0,6.6,10.0,0.00853059,25.911491766799,5.0,9.2596062540021,0.0,,"{'original': 6.6, 'alternative': 7.6}",0,,0.44,-0.06,-0.51,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,1.0,2.0,,,1.0,1.0,,1.0,,,,2.0,,,,,,,1.0,,,,,,,,1.0,2.0,,,Jiangxi Dingnan United,,15657868
Wang Sihan,Wang,wang-sihan,W. Sihan,D,27,189.0,0,M,ikxnwh,"{'alpha2': 'CN', 'alpha3': 'CHN', 'name': 'China', 'slug': 'china'}",2184411,EUR,702259200,,"{'nameTranslation': {'ar': 'وانغ سيهان', 'ru': 'Ван Сихань'}, 'shortNameTranslation': {'ar': 'و. سيهان', 'ru': 'В. Сихань'}}",Sihan,196341,27,27,D,False,18.0,17.0,1.0,1.0,0.0,14.0,15.0,3.0,3.0,6.0,1.0,,,,,,90.0,32.0,6.2,2.0,0.00086892,10.959418876501,2.0,-1.9309186871973,0.0,,"{'original': 6.2, 'alternative': 6.5}",0,,-0.02,0.0,-0.27,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,3.0,3.0,,,1.0,1.0,1.0,1.0,2.0,,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,Jiangxi Dingnan United,,15657868
Daciel Santos,Daciel,daciel-santos,D. Santos,D,4,189.0,38,M,rsut3v,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",1018722,EUR,849225600,"{'value': 385000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'داسيل سانتوس', 'ru': 'Дасиль Сантос'}, 'shortNameTranslation': {'ar': 'د. سانتوس', 'ru': 'Д. Сантос'}}",Santos,196341,4,4,D,False,18.0,9.0,5.0,,0.0,9.0,14.0,,4.0,13.0,,,,,,,90.0,39.0,6.9,10.0,0.00011123,45.784545846068,7.0,-7.8182964452775,0.0,,"{'original': 6.9, 'alternative': 7.2}",1,,0.01,0.03,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,3.0,3.0,,,2.0,2.0,,,1.0,,,,3.0,1.0,1.0,,,2.0,,0.0168,,-0.03,,,,,,,1.0,,Jiangxi Dingnan United,,15657868
Li Zhi,Li Zhi,li-zhi,L. Zhi,D,16,178.0,3,M,b7hc5r,"{'alpha2': 'CN', 'alpha3': 'CHN', 'name': 'China', 'slug': 'china'}",1171321,EUR,743904000,"{'value': 24000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لي تشي', 'ru': 'Ли Чжи'}, 'shortNameTranslation': {'ar': 'ل. تشي', 'ru': 'Л. Чжи'}}",,196341,16,16,D,False,26.0,14.0,8.0,3.0,0.0,7.0,12.0,7.0,14.0,2.0,5.0,,,,,,90.0,49.0,6.2,20.0,0.00975568,53.920080954447,7.0,-4.1196981426401,0.0,,"{'original': 6.2, 'alternative': 6.6}",0,,0.0,0.07,-0.38,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5.0,2.0,4.0,,,3.0,2.0,,1.0,1.0,,,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,1.0,Jiangxi Dingnan United,,15657868
Zhu Jiaxuan,Zhu Jiaxuan,zhu-jiaxuan,Z. Jiaxuan,M,6,185.0,2,M,8jvm22,"{'alpha2': 'CN', 'alpha3': 'CHN', 'name': 'China', 'slug': 'china'}",1046272,EUR,923961600,"{'value': 105000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تشو جياشوان', 'ru': 'Чжу Цзясюань'}, 'shortNameTranslation': {'ar': 'ت. جياشوان', 'ru': 'Ч. Цзясюань'}}",,196341,6,6,M,False,12.0,11.0,2.0,2.0,0.0,8.0,8.0,3.0,4.0,4.0,1.0,,,,,,70.0,22.0,6.6,3.0,0.00323561,18.561574529118,1.0,12.051345643118,0.0,,"{'original': 6.6, 'alternative': 6.5}",0,,0.0,0.07,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,3.0,1.0,1.0,,1.0,1.0,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,1.0,,,,Jiangxi Dingnan United,,15657868
Hu Jiajin,Hu Jiajin,hu-jiajin,H. Jiajin,M,21,175.0,9,M,xz9v9c,"{'alpha2': 'CN', 'alpha3': 'CHN', 'name': 'China', 'slug': 'china'}",1215959,EUR,1111363200,"{'value': 70000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هو جياجين', 'ru': 'Ху Цзяцзинь'}, 'shortNameTranslation': {'ar': 'ه. جياجين', 'ru': 'Х. Цзяцзинь'}}",,196341,21,21,M,False,11.0,8.0,1.0,,1.0,2.0,3.0,6.0,8.0,1.0,2.0,,,,,,70.0,19.0,6.6,5.0,0.115933,43.540845545874,4.0,21.883790677593,1.0,,"{'original': 6.6, 'alternative': 6.6}",0,,0.3,0.05,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1.0,2.0,1.0,1.0,,1.0,1.0,,,,20.226762939118,28.271097679432,1.0,,,,,,,,,,,,1.0,,1.0,,,,,Jiangxi Dingnan United,,15657868
Zimin Zhang,Zimin Zhang,zimin-zhang,Z. Zhang,M,8,182.0,0,M,q97uwz,"{'alpha2': 'CN', 'alpha3': 'CHN', 'name': 'China', 'slug': 'china'}",1867652,EUR,954979200,"{'value': 90000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'زيمين زانغ', 'ru': 'Цзимин Чжан'}, 'shortNameTranslation': {'ar': 'ز. زانغ', 'ru': 'Ц. Чжан'}}",,196341,8,8,M,False,16.0,14.0,3.0,2.0,0.0,6.0,7.0,8.0,9.0,2.0,2.0,,,,,,90.0,28.0,7.3,9.0,0.0211919,23.949019919697,5.0,9.6831216668788,0.0,,"{'original': 7.3, 'alternative': 7.1}",1,,-0.07,-0.5,-0.11,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5.0,2.0,1.0,,,,,2.0,1.0,,,,2.0,1.0,,,1.0,1.0,,,0.0861,0.1257,0.51,,1.0,,1.0,,,,,Jiangxi Dingnan United,,15657868
Fan Bojian,,bojian-fan,F. Bojian,M,18,182.0,3,M,q4929a,"{'alpha2': 'CN', 'alpha3': 'CHN', 'name': 'China', 'slug': 'china'}",987012,EUR,859248000,"{'value': 71000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بوجيان، فان', 'ru': 'Фан Бодзян'}, 'shortNameTranslation': {'ar': 'ف. بوجيان', 'ru': 'Ф. Бодзян'}}",,196341,18,18,M,False,15.0,12.0,1.0,,0.0,8.0,9.0,4.0,6.0,,3.0,,,,,,58.0,27.0,6.8,6.0,0.0032129,110.43773079366,10.0,37.430769121857,2.0,,"{'original': 6.8, 'alternative': 6.7}",1,,0.09,0.14,-0.09,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,2.0,5.0,1.0,,2.0,1.0,1.0,3.0,,21.069592680807,44.306278535022,,,,1.0,,,,1.0,0.0342,,-0.03,,,,,1.0,,,,Jiangxi Dingnan United,True,15657868
Chenghao Ma,Chenghao,chenghao-ma,C. Ma,M,9,178.0,11,M,tf4wxa,"{'alpha2': 'CN', 'alpha3': 'CHN', 'name': 'China', 'slug': 'china'}",2074746,EUR,1144800000,"{'value': 120000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ما، تشنغهاو', 'ru': 'Чэнхао Ма'}, 'shortNameTranslation': {'ar': 'ت. ما', 'ru': 'Ч. Ма'}}",Ma,196341,9,9,M,False,6.0,4.0,1.0,,0.0,3.0,4.0,1.0,2.0,1.0,,,,,,,58.0,20.0,6.6,7.0,0.00022554,70.650045119517,5.0,53.533721996016,2.0,,"{'original': 6.6, 'alternative': 6.6}",1,,0.05,0.23,0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,3.0,3.0,2.0,,3.0,2.0,3.0,,,31.77624637963,48.022854130621,,,,,1.0,,,,0.0943,0.158,-0.27,,,,,1.0,,,1.0,Jiangxi Dingnan United,,15657868
