name,firstName,lastName,slug,shortName,position,jerseyNumber,userCount,gender,sofascoreId,country,id,marketValueCurrency,dateOfBirthTimestamp,fieldTranslations,height,proposedMarketValueRaw,teamId,shirtNumber,jerseyNumber,position,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,penaltyFaced,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,goalsPrevented,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,totalCross,accurateCross,duelLost,duelWon,totalContest,interceptionWon,totalTackle,wonTackle,totalOffside,bestBallCarryProgression,totalProgressiveBallCarriesDistance,aerialLost,aerialWon,onTargetScoringAttempt,hitWoodwork,fouls,expectedGoals,expectedGoalsOnTarget,shotValueNormalized,challengeLost,outfielderBlock,lastManTackle,unsuccessfulTouch,penaltyConceded,wasFouled,dispossessed,wonContest,shotOffTarget,keyPass,blockedScoringAttempt,goals,teamName,captain,match_id
Yuanming Xiao,Yuanming,Xiao,yuanming-xiao,Y. Xiao,G,31,0,M,vn9hkv,"{'alpha2': 'CN', 'alpha3': 'CHN', 'name': 'China', 'slug': 'china'}",2283211,EUR,1139702400,"{'nameTranslation': {'ar': 'يوانمينغ شياو', 'ru': 'Юаньмин Сяо'}, 'shortNameTranslation': {'ar': 'ي. شياو', 'ru': 'Ю. Сяо'}}",,,196341,31,31,G,False,25.0,19.0,8.0,3.0,0.0,17.0,19.0,2.0,6.0,2.0,13.0,4.0,1.0,5.0,1.0,1.0,90.0,39.0,7.1,6.0,0.00240063,18.380772204496,3.0,7.1774111615654,0.0,0.4381,"{'original': 7.1, 'alternative': 7.6}",0,0.3221,0.05,-0.09,0.2,0.38,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jiangxi Dingnan United,,15657877
Du Junpeng,Du Junpeng,,du-junpeng,D. Junpeng,D,23,1,M,g8abws,"{'alpha2': 'CN', 'alpha3': 'CHN', 'name': 'China', 'slug': 'china'}",1655873,EUR,666835200,"{'nameTranslation': {'ar': 'دو جونبينغ', 'ru': 'Ду Цзюньпэн'}, 'shortNameTranslation': {'ar': 'د. جونبينغ', 'ru': 'Д. Цзюньпэн'}}",185.0,"{'value': 24000, 'currency': 'EUR'}",196341,23,23,D,False,44.0,42.0,4.0,2.0,0.0,24.0,24.0,18.0,20.0,,3.0,,,,,,90.0,56.0,6.9,5.0,0.106569,76.103128483403,8.0,44.380973755598,2.0,,"{'original': 6.9, 'alternative': 6.7}",0,,0.4,0.0,-0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,20.302014467259,31.73753753188,,,,,,,,,,,,,,,,,,,,,Jiangxi Dingnan United,,15657877
Wang Sihan,Wang,Sihan,wang-sihan,W. Sihan,D,27,0,M,ikxnwh,"{'alpha2': 'CN', 'alpha3': 'CHN', 'name': 'China', 'slug': 'china'}",2184411,EUR,702259200,"{'nameTranslation': {'ar': 'وانغ سيهان', 'ru': 'Ван Сихань'}, 'shortNameTranslation': {'ar': 'و. سيهان', 'ru': 'В. Сихань'}}",189.0,,196341,27,27,D,False,64.0,61.0,5.0,4.0,0.0,45.0,45.0,16.0,19.0,5.0,,,,,,,75.0,75.0,7.1,4.0,0.00812715,204.06553306783,24.0,156.4901992021,4.0,,"{'original': 7.1, 'alternative': 7.3}",1,,0.17,0.12,0.2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,3.0,2.0,,,1.0,1.0,,22.625412023526,83.649531737102,2.0,1.0,1.0,1.0,1.0,0.0211,0.2124,-0.13,,,,,,,,,,,,,Jiangxi Dingnan United,,15657877
Daciel Santos,Daciel,Santos,daciel-santos,D. Santos,D,4,38,M,rsut3v,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",1018722,EUR,849225600,"{'nameTranslation': {'ar': 'داسيل سانتوس', 'ru': 'Дасиль Сантос'}, 'shortNameTranslation': {'ar': 'د. سانتوس', 'ru': 'Д. Сантос'}}",189.0,"{'value': 385000, 'currency': 'EUR'}",196341,4,4,D,False,68.0,64.0,6.0,5.0,0.0,49.0,51.0,15.0,17.0,9.0,3.0,,,,,,90.0,88.0,7.8,5.0,0.017834,275.62947471198,33.0,213.56577216229,1.0,,"{'original': 7.8, 'alternative': 7.4}",0,,0.29,0.17,0.74,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,4.0,9.0,,1.0,2.0,1.0,,15.595919428469,15.645591104206,2.0,4.0,,,2.0,,,,1.0,1.0,1.0,1.0,1.0,3.0,,,,,,,Jiangxi Dingnan United,,15657877
Li Zhi,Li Zhi,,li-zhi,L. Zhi,D,16,3,M,b7hc5r,"{'alpha2': 'CN', 'alpha3': 'CHN', 'name': 'China', 'slug': 'china'}",1171321,EUR,743904000,"{'nameTranslation': {'ar': 'لي تشي', 'ru': 'Ли Чжи'}, 'shortNameTranslation': {'ar': 'ل. تشي', 'ru': 'Л. Чжи'}}",178.0,"{'value': 24000, 'currency': 'EUR'}",196341,16,16,M,False,58.0,45.0,8.0,3.0,0.0,22.0,26.0,23.0,32.0,1.0,3.0,,,,,,73.0,73.0,6.7,20.0,0.0457185,135.40457634744,19.0,72.175421807694,1.0,,"{'original': 6.7, 'alternative': 6.5}",0,,0.26,0.13,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2.0,,2.0,1.0,,,,,,9.8343775017134,17.091204784918,,1.0,,,1.0,,,,,,,1.0,,,1.0,,,,,,Jiangxi Dingnan United,,15657877
Zhu Jiaxuan,Zhu Jiaxuan,,zhu-jiaxuan,Z. Jiaxuan,M,6,2,M,8jvm22,"{'alpha2': 'CN', 'alpha3': 'CHN', 'name': 'China', 'slug': 'china'}",1046272,EUR,923961600,"{'nameTranslation': {'ar': 'تشو جياشوان', 'ru': 'Чжу Цзясюань'}, 'shortNameTranslation': {'ar': 'ت. جياشوان', 'ru': 'Ч. Цзясюань'}}",185.0,"{'value': 105000, 'currency': 'EUR'}",196341,6,6,M,False,38.0,35.0,3.0,3.0,0.0,21.0,21.0,14.0,17.0,,1.0,,,,,,62.0,45.0,7.2,5.0,0.0777568,105.06474504326,14.0,31.497206394526,1.0,,"{'original': 7.2, 'alternative': 6.8}",0,,0.29,0.09,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,2.0,3.0,,,2.0,1.0,,19.019275751587,19.56418247717,,1.0,,,,,,,1.0,,,1.0,,,1.0,,,,,,Jiangxi Dingnan United,,15657877
Zimin Zhang,Zimin Zhang,,zimin-zhang,Z. Zhang,M,8,0,M,q97uwz,"{'alpha2': 'CN', 'alpha3': 'CHN', 'name': 'China', 'slug': 'china'}",1867652,EUR,954979200,"{'nameTranslation': {'ar': 'زيمين زانغ', 'ru': 'Цзимин Чжан'}, 'shortNameTranslation': {'ar': 'ز. زانغ', 'ru': 'Ц. Чжан'}}",182.0,"{'value': 90000, 'currency': 'EUR'}",196341,8,8,M,False,29.0,27.0,1.0,,0.0,13.0,13.0,14.0,16.0,,1.0,,,,,,45.0,34.0,7.0,2.0,0.080125,92.061919742628,10.0,25.174845129787,0.0,,"{'original': 7, 'alternative': 6.9}",1,,0.08,0.02,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2.0,2.0,,2.0,,,1.0,,,,,,,1.0,,,0.0331,0.3873,0.17,,,,,,1.0,,,,,,,Jiangxi Dingnan United,,15657877
Hu Jiajin,Hu Jiajin,,hu-jiajin,H. Jiajin,M,21,9,M,xz9v9c,"{'alpha2': 'CN', 'alpha3': 'CHN', 'name': 'China', 'slug': 'china'}",1215959,EUR,1111363200,"{'nameTranslation': {'ar': 'هو جياجين', 'ru': 'Ху Цзяцзинь'}, 'shortNameTranslation': {'ar': 'ه. جياجين', 'ru': 'Х. Цзяцзинь'}}",175.0,"{'value': 70000, 'currency': 'EUR'}",196341,21,21,M,False,38.0,32.0,3.0,1.0,0.0,20.0,20.0,12.0,18.0,,6.0,,,,,,90.0,46.0,6.6,8.0,0.0954482,81.114055334018,11.0,6.4689889805274,0.0,,"{'original': 6.6, 'alternative': 6.9}",1,,0.3,0.01,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2.0,1.0,2.0,1.0,1.0,1.0,,,,,,1.0,,,,1.0,0.0513,,-0.29,,1.0,,,,,,1.0,1.0,,,,Jiangxi Dingnan United,,15657877
Fan Bojian,,,bojian-fan,F. Bojian,M,18,3,M,q4929a,"{'alpha2': 'CN', 'alpha3': 'CHN', 'name': 'China', 'slug': 'china'}",987012,EUR,859248000,"{'nameTranslation': {'ar': 'بوجيان، فان', 'ru': 'Фан Бодзян'}, 'shortNameTranslation': {'ar': 'ف. بوجيان', 'ru': 'Ф. Бодзян'}}",182.0,"{'value': 71000, 'currency': 'EUR'}",196341,18,18,F,False,4.0,4.0,,,0.0,1.0,1.0,3.0,3.0,,,,,,,,45.0,7.0,6.2,1.0,0.0366588,7.7914031115892,2.0,-6.5532085040985,0.0,,"{'original': 6.2, 'alternative': 6.7}",1,,-0.06,-0.62,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,1.0,,,,,,,,,,,1.0,,,0.0674,0.1526,-0.26,,,,,,,1.0,,,1.0,,,Jiangxi Dingnan United,True,15657877
Erikys,,,erikys,Erikys,F,11,27,M,8e388w,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",870665,EUR,800496000,"{'nameTranslation': {'ar': 'إيريكيس', 'ru': 'Эрикис'}, 'shortNameTranslation': {'ar': 'إيريكيس', 'ru': 'Эрикис'}}",185.0,"{'value': 580000, 'currency': 'EUR'}",196341,11,11,F,False,14.0,11.0,,,0.0,4.0,5.0,7.0,9.0,2.0,1.0,,,,,,90.0,33.0,6.2,13.0,0.0583736,27.573738548009,4.0,-5.6284426172908,0.0,,"{'original': 6.2, 'alternative': 6.9}",2,,0.08,-0.57,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1.0,,8.0,6.0,2.0,,,,,,,4.0,2.0,2.0,,3.0,0.0802,0.2723,-0.21,,,,6.0,,4.0,1.0,,,1.0,,,Jiangxi Dingnan United,,15657877
