name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,country,id,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,teamId,shirtNumber,jerseyNumber,position,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,duelLost,duelWon,challengeLost,totalClearance,ballRecovery,totalTackle,wonTackle,errorLeadToAGoal,fouls,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,goalsPrevented,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,accurateOppositionHalfPasses,aerialLost,interceptionWon,aerialWon,wasFouled,bestBallCarryProgression,totalProgressiveBallCarriesDistance,totalCross,accurateCross,dispossessed,unsuccessfulTouch,keyPass,totalContest,bigChanceMissed,shotOffTarget,onTargetScoringAttempt,expectedGoals,expectedGoalsOnTarget,shotValueNormalized,blockedScoringAttempt,goals,wonContest,bigChanceCreated,totalOffside,punches,outfielderBlock,clearanceOffLine,teamName,captain,match_id
Yuanming Xiao,Yuanming,Xiao,yuanming-xiao,Y. Xiao,G,31,,0,M,vn9hkv,"{'alpha2': 'CN', 'alpha3': 'CHN', 'name': 'China', 'slug': 'china'}",2283211,EUR,1139702400,,"{'nameTranslation': {'ar': 'يوانمينغ شياو', 'ru': 'Юаньмин Сяо'}, 'shortNameTranslation': {'ar': 'ي. شياو', 'ru': 'Ю. Сяо'}}",196341,31,31,G,False,12.0,5.0,10.0,3.0,0.0,3.0,7.0,5.0,1.0,2.0,,2.0,3.0,,,,1.0,4.0,4.0,64.0,23.0,4.9,7.0,0.00019244,,,,,0.1638,"{'original': 4.9, 'alternative': 6.3}",0,-1.2042,-0.02,,-0.2,-0.99,"{'sportSlug': 'football', 'statisticsType': 'player'}",2.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,Jiangxi Dingnan United,,15657885
Mingxin Zhu,Mingxin Zhu,,mingxin-zhu,M. Zhu,D,3,185.0,2,M,b4p3i8,"{'alpha2': 'CN', 'alpha3': 'CHN', 'name': 'China', 'slug': 'china'}",1867577,EUR,921542400,"{'value': 68000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مينغشين زو', 'ru': 'Минсинь Чжу'}, 'shortNameTranslation': {'ar': 'م. زو', 'ru': 'М. Чжу'}}",196341,3,3,D,False,14.0,10.0,3.0,,0.0,9.0,10.0,4.0,1.0,2.0,,3.0,3.0,1.0,1.0,,1.0,,,45.0,20.0,6.1,5.0,0.00017199,23.325976603205,6.0,0.071027473849128,0.0,,"{'original': 6.1, 'alternative': 6.3}",0,,-0.03,0.03,-0.31,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,Jiangxi Dingnan United,,15657885
Wang Sihan,Wang,Sihan,wang-sihan,W. Sihan,D,27,189.0,0,M,ikxnwh,"{'alpha2': 'CN', 'alpha3': 'CHN', 'name': 'China', 'slug': 'china'}",2184411,EUR,702259200,,"{'nameTranslation': {'ar': 'وانغ سيهان', 'ru': 'Ван Сихань'}, 'shortNameTranslation': {'ar': 'و. سيهان', 'ru': 'В. Сихань'}}",196341,27,27,D,False,19.0,13.0,4.0,1.0,0.0,9.0,11.0,8.0,1.0,,,4.0,5.0,,,,,,,90.0,28.0,5.6,7.0,0.0005784,48.795932983442,6.0,19.571296066852,0.0,,"{'original': 5.6, 'alternative': 6.2}",1,,-0.04,0.13,-0.56,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4.0,1.0,,,,,,,,,,,,,,1.0,0.0866,0.0359,-0.18,,,,,,,1.0,,Jiangxi Dingnan United,True,15657885
Daciel Santos,Daciel,Santos,daciel-santos,D. Santos,D,4,189.0,38,M,rsut3v,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",1018722,EUR,849225600,"{'value': 385000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'داسيل سانتوس', 'ru': 'Дасиль Сантос'}, 'shortNameTranslation': {'ar': 'د. سانتوس', 'ru': 'Д. Сантос'}}",196341,4,4,D,False,24.0,13.0,5.0,,0.0,9.0,16.0,8.0,1.0,9.0,1.0,3.0,4.0,4.0,3.0,,,,,90.0,43.0,6.6,13.0,0.00092162,53.792054038787,6.0,-8.2858985433025,0.0,,"{'original': 6.6, 'alternative': 6.8}",0,,0.05,0.0,-0.33,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4.0,,4.0,1.0,4.0,,,,,,,1.0,,,,,,,,,,,,,,1.0,,Jiangxi Dingnan United,,15657885
Yujie Zhang,Yujie Zhang,,yujie-zhang,Y. Zhang,D,2,177.0,6,M,cerx5d,"{'alpha2': 'CN', 'alpha3': 'CHN', 'name': 'China', 'slug': 'china'}",1115242,EUR,1016409600,"{'value': 27000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يوجي تشانغ', 'ru': 'Юйцзе Чжан'}, 'shortNameTranslation': {'ar': 'ي. تشانغ', 'ru': 'Ю. Чжан'}}",196341,2,2,M,False,11.0,8.0,2.0,1.0,0.0,5.0,7.0,4.0,,4.0,,2.0,1.0,3.0,2.0,,,,,90.0,28.0,6.8,5.0,0.00357857,14.258136238653,1.0,13.761578509659,0.0,,"{'original': 6.8, 'alternative': 6.8}",0,,-0.04,0.01,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3.0,,2.0,,1.0,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,2.0,,Jiangxi Dingnan United,,15657885
Zhu Jiaxuan,Zhu Jiaxuan,,zhu-jiaxuan,Z. Jiaxuan,M,6,185.0,2,M,8jvm22,"{'alpha2': 'CN', 'alpha3': 'CHN', 'name': 'China', 'slug': 'china'}",1046272,EUR,923961600,"{'value': 105000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تشو جياشوان', 'ru': 'Чжу Цзясюань'}, 'shortNameTranslation': {'ar': 'ت. جياشوان', 'ru': 'Ч. Цзясюань'}}",196341,6,6,M,False,23.0,14.0,7.0,3.0,0.0,9.0,13.0,10.0,3.0,,,4.0,2.0,,,,2.0,,,90.0,31.0,6.7,10.0,0.0113134,,,,,,"{'original': 6.7, 'alternative': 6.8}",1,,0.04,,-0.11,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5.0,,,,,,,,,1.0,,1.0,,,,1.0,0.7568,0.5827,0.32,,1.0,,,,,,,Jiangxi Dingnan United,,15657885
Zimin Zhang,Zimin Zhang,,zimin-zhang,Z. Zhang,M,8,182.0,0,M,q97uwz,"{'alpha2': 'CN', 'alpha3': 'CHN', 'name': 'China', 'slug': 'china'}",1867652,EUR,954979200,"{'value': 90000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'زيمين زانغ', 'ru': 'Цзимин Чжан'}, 'shortNameTranslation': {'ar': 'ز. زانغ', 'ru': 'Ц. Чжан'}}",196341,8,8,M,False,12.0,8.0,1.0,1.0,0.0,6.0,7.0,5.0,3.0,,,,,,,,,,,90.0,17.0,7.0,7.0,0.00066302,13.105364791319,3.0,4.1388311680661,0.0,,"{'original': 7, 'alternative': 6.5}",1,,-0.06,0.0,-0.24,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2.0,,,,,,,,,2.0,,,1.0,,,1.0,0.0441,0.0158,0.51,,1.0,,,,,,,Jiangxi Dingnan United,,15657885
Hao Yucheng,Hao,Yucheng,hao-yucheng,H. Yucheng,D,34,180.0,2,M,wr87px,"{'alpha2': 'CN', 'alpha3': 'CHN', 'name': 'China', 'slug': 'china'}",1804301,EUR,1098576000,"{'value': 77000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هاو يوتشنغ', 'ru': 'Хао Юйчэн'}, 'shortNameTranslation': {'ar': 'ه. يوتشنغ', 'ru': 'Х. Юйчэн'}}",196341,34,34,M,False,13.0,8.0,2.0,,0.0,6.0,8.0,5.0,1.0,2.0,,1.0,2.0,1.0,1.0,,1.0,,,45.0,28.0,8.2,7.0,0.00374224,70.812173502956,5.0,46.502379311857,2.0,,"{'original': 8.2, 'alternative': 7.8}",2,,0.01,0.12,0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2.0,,1.0,,,22.537929814167,44.344329470531,1.0,,,,,1.0,,,2.0,0.0464,0.1908,0.51,,1.0,1.0,,,,1.0,1.0,Jiangxi Dingnan United,,15657885
Hu Jiajin,Hu Jiajin,,hu-jiajin,H. Jiajin,M,21,175.0,9,M,xz9v9c,"{'alpha2': 'CN', 'alpha3': 'CHN', 'name': 'China', 'slug': 'china'}",1215959,EUR,1111363200,"{'value': 70000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هو جياجين', 'ru': 'Ху Цзяцзинь'}, 'shortNameTranslation': {'ar': 'ه. جياجين', 'ru': 'Х. Цзяцзинь'}}",196341,21,21,F,False,3.0,2.0,,,0.0,1.0,1.0,2.0,2.0,2.0,,1.0,3.0,,,,,,,90.0,17.0,6.6,7.0,0.0870553,33.779409037455,3.0,-4.0026279935764,0.0,,"{'original': 6.6, 'alternative': 6.6}",1,,0.11,0.04,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1.0,,1.0,,2.0,,,2.0,1.0,2.0,2.0,1.0,,,1.0,,0.0167,,-0.12,,,,,,,,,Jiangxi Dingnan United,,15657885
Manuel Palacios,,,manuel-palacios,M. Palacios,M,7,183.0,116,M,hvdn8c,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",285823,EUR,729561600,"{'value': 190000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مانويل بالاسيوس', 'ru': 'Мануэль Палациос'}, 'shortNameTranslation': {'ar': 'م. بالاسيوس', 'ru': 'М. Палациос'}}",196341,7,7,F,False,9.0,7.0,,,1.0,2.0,2.0,7.0,5.0,1.0,,,1.0,1.0,1.0,,3.0,,,68.0,14.0,6.6,6.0,0.0190418,13.782062099079,3.0,9.0944453287004,0.0,,"{'original': 6.6, 'alternative': 6.8}",0,,0.29,0.13,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5.0,1.0,,,,,,,,1.0,2.0,1.0,1.0,,,,,,,,,,1.0,2.0,,,,Jiangxi Dingnan United,,15657885
