name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,country,id,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,teamId,shirtNumber,jerseyNumber,position,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,ratingVersions,totalShots,goalsPrevented,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,statisticsType,aerialWon,duelWon,blockedScoringAttempt,totalTackle,wonTackle,unsuccessfulTouch,fouls,expectedGoals,keyPass,shotValueNormalized,onTargetScoringAttempt,goals,interceptionWon,expectedGoalsOnTarget,bestBallCarryProgression,totalProgressiveBallCarriesDistance,duelLost,wasFouled,totalCross,accurateCross,aerialLost,dispossessed,totalContest,wonContest,bigChanceCreated,challengeLost,shotOffTarget,totalOffside,hitWoodwork,bigChanceMissed,penaltyWon,savedShotsFromInsideTheBox,penaltyFaced,saves,keeperSaveValue,goalkeeperValueNormalized,outfielderBlock,penaltyConceded,teamName,captain,match_id
Chen Yang,chen-yang,C. Yang,G,24,192,0,M,q947hi,"{'alpha2': 'CN', 'alpha3': 'CHN', 'name': 'China', 'slug': 'china'}",1877060,EUR,953769600,"{'value': 26000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تشين يانغ', 'ru': 'Чэнь Ян'}, 'shortNameTranslation': {'ar': 'ت. يانغ', 'ru': 'Ч. Ян'}}",Chen,Yang,196341,24,24,G,False,19.0,10.0,11.0,3.0,0.0,9.0,11.0,1.0,8.0,2.0,6.0,,,,,90.0,29.0,5.2,10.0,0.00035304,41.641729370909,1.0,-40.550369584839,0.0,"{'original': 5.2, 'alternative': 5.5}",0,-2.6548,0.02,0.02,-0.45,"{'sportSlug': 'football', 'statisticsType': 'player'}",,2.0,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,1.0,,,,,,2.0,1.0,2.0,0.4102,-1.0,,,Jiangxi Dingnan United,,15657889
Wang Sihan,wang-sihan,W. Sihan,D,27,189,0,M,ikxnwh,"{'alpha2': 'CN', 'alpha3': 'CHN', 'name': 'China', 'slug': 'china'}",2184411,EUR,702259200,,"{'nameTranslation': {'ar': 'وانغ سيهان', 'ru': 'Ван Сихань'}, 'shortNameTranslation': {'ar': 'و. سيهان', 'ru': 'В. Сихань'}}",Wang,Sihan,196341,27,27,D,False,34.0,29.0,4.0,2.0,0.0,20.0,21.0,9.0,13.0,1.0,1.0,,,,,90.0,41.0,5.9,6.0,0.00273877,38.648356883138,2.0,34.506953509201,1.0,"{'original': 5.9, 'alternative': 6.1}",0,,0.09,0.02,-0.51,"{'sportSlug': 'football', 'statisticsType': 'player'}",,1.0,,1.0,1.0,1.0,1.0,,,,,,1.0,,27.463261833069,28.124697776154,2.0,,,,1.0,,,,,,,,,,,,,,,,2.0,,Jiangxi Dingnan United,True,15657889
Daciel Santos,daciel-santos,D. Santos,D,4,189,38,M,rsut3v,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",1018722,EUR,849225600,"{'value': 385000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'داسيل سانتوس', 'ru': 'Дасиль Сантос'}, 'shortNameTranslation': {'ar': 'د. سانتوس', 'ru': 'Д. Сантос'}}",Daciel,Santos,196341,4,4,D,False,36.0,30.0,2.0,2.0,0.0,20.0,21.0,10.0,15.0,1.0,1.0,,,,,90.0,46.0,5.5,6.0,0.00860498,17.650650718311,2.0,-3.3242513548674,0.0,"{'original': 5.5, 'alternative': 6.1}",0,,-0.08,0.26,-0.93,"{'sportSlug': 'football', 'statisticsType': 'player'}",,3.0,,,,,2.0,,,,,,4.0,,,,3.0,3.0,,,,,,,,1.0,,,,,,,,,,,,,Jiangxi Dingnan United,,15657889
Du Junpeng,du-junpeng,D. Junpeng,D,23,185,1,M,g8abws,"{'alpha2': 'CN', 'alpha3': 'CHN', 'name': 'China', 'slug': 'china'}",1655873,EUR,666835200,"{'value': 24000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دو جونبينغ', 'ru': 'Ду Цзюньпэн'}, 'shortNameTranslation': {'ar': 'د. جونبينغ', 'ru': 'Д. Цзюньпэн'}}",Du Junpeng,,196341,23,23,D,False,17.0,10.0,5.0,1.0,0.0,6.0,6.0,4.0,11.0,4.0,,,,,,45.0,26.0,5.4,8.0,0.00161634,32.972282274572,4.0,-11.964188520208,0.0,"{'original': 5.4, 'alternative': 6.1}",0,,-0.11,0.03,-0.71,"{'sportSlug': 'football', 'statisticsType': 'player'}",,2.0,,1.0,1.0,,2.0,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,Jiangxi Dingnan United,,15657889
Yujie Zhang,yujie-zhang,Y. Zhang,D,2,177,6,M,cerx5d,"{'alpha2': 'CN', 'alpha3': 'CHN', 'name': 'China', 'slug': 'china'}",1115242,EUR,1016409600,"{'value': 27000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يوجي تشانغ', 'ru': 'Юйцзе Чжан'}, 'shortNameTranslation': {'ar': 'ي. تشانغ', 'ru': 'Ю. Чжан'}}",Yujie Zhang,,196341,2,2,M,False,12.0,5.0,4.0,,0.0,3.0,3.0,2.0,9.0,1.0,2.0,,,,,90.0,28.0,5.9,11.0,0.00220634,49.740166610874,4.0,17.262372496115,0.0,"{'original': 5.9, 'alternative': 5.8}",0,,-0.03,0.02,-0.31,"{'sportSlug': 'football', 'statisticsType': 'player'}",,1.0,,1.0,1.0,2.0,1.0,,,,,,,,,,4.0,,,,,2.0,,,,1.0,,,,,,,,,,,,,Jiangxi Dingnan United,,15657889
Zhu Jiaxuan,zhu-jiaxuan,Z. Jiaxuan,M,6,185,2,M,8jvm22,"{'alpha2': 'CN', 'alpha3': 'CHN', 'name': 'China', 'slug': 'china'}",1046272,EUR,923961600,"{'value': 105000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تشو جياشوان', 'ru': 'Чжу Цзясюань'}, 'shortNameTranslation': {'ar': 'ت. جياشوان', 'ru': 'Ч. Цзясюань'}}",Zhu Jiaxuan,,196341,6,6,M,False,28.0,21.0,6.0,3.0,0.0,13.0,13.0,8.0,15.0,1.0,1.0,,,,,66.0,32.0,6.1,8.0,0.00215947,8.1541151744527,2.0,1.8365891284466,0.0,"{'original': 6.1, 'alternative': 6.2}",0,,-0.03,0.02,-0.22,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,1.0,1.0,,,,,,1.0,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,Jiangxi Dingnan United,,15657889
Zimin Zhang,zimin-zhang,Z. Zhang,M,8,182,0,M,q97uwz,"{'alpha2': 'CN', 'alpha3': 'CHN', 'name': 'China', 'slug': 'china'}",1867652,EUR,954979200,"{'value': 90000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'زيمين زانغ', 'ru': 'Цзимин Чжан'}, 'shortNameTranslation': {'ar': 'ز. زانغ', 'ru': 'Ц. Чжан'}}",Zimin Zhang,,196341,8,8,M,False,13.0,10.0,3.0,1.0,0.0,7.0,8.0,3.0,5.0,,2.0,,,,,45.0,20.0,6.5,6.0,0.00815771,29.497730746198,4.0,-4.9045942888152,0.0,"{'original': 6.5, 'alternative': 6.5}",0,,0.03,0.07,-0.16,"{'sportSlug': 'football', 'statisticsType': 'player'}",,4.0,,1.0,1.0,,1.0,,,,,,,,,,2.0,3.0,3.0,,1.0,,,,,,,,,,,,,,,,,,Jiangxi Dingnan United,,15657889
Li Zhi,li-zhi,L. Zhi,D,16,178,3,M,b7hc5r,"{'alpha2': 'CN', 'alpha3': 'CHN', 'name': 'China', 'slug': 'china'}",1171321,EUR,743904000,"{'value': 24000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لي تشي', 'ru': 'Ли Чжи'}, 'shortNameTranslation': {'ar': 'ل. تشي', 'ru': 'Л. Чжи'}}",Li Zhi,,196341,16,16,M,False,5.0,3.0,1.0,1.0,0.0,1.0,1.0,2.0,4.0,,,,,,,45.0,9.0,6.3,2.0,0.00179113,10.507923867254,1.0,-10.450950782328,0.0,"{'original': 6.3, 'alternative': 6.3}",0,,-0.02,-0.06,-0.17,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jiangxi Dingnan United,,15657889
Hu Jiajin,hu-jiajin,H. Jiajin,M,21,175,9,M,xz9v9c,"{'alpha2': 'CN', 'alpha3': 'CHN', 'name': 'China', 'slug': 'china'}",1215959,EUR,1111363200,"{'value': 70000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هو جياجين', 'ru': 'Ху Цзяцзинь'}, 'shortNameTranslation': {'ar': 'ه. جياجين', 'ru': 'Х. Цзяцзинь'}}",Hu Jiajin,,196341,21,21,F,False,11.0,9.0,3.0,2.0,0.0,6.0,6.0,3.0,5.0,,,,,,,60.0,14.0,6.7,3.0,0.00493622,58.248943395573,5.0,-6.873695017152,1.0,"{'original': 6.7, 'alternative': 6.7}",0,,0.06,0.09,0.13,"{'sportSlug': 'football', 'statisticsType': 'player'}",,2.0,,1.0,1.0,1.0,1.0,,1.0,,,,,,10.578972130725,15.379713944024,2.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,Jiangxi Dingnan United,,15657889
Erikys,erikys,Erikys,F,11,185,27,M,8e388w,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",870665,EUR,800496000,"{'value': 580000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيريكيس', 'ru': 'Эрикис'}, 'shortNameTranslation': {'ar': 'إيريكيس', 'ru': 'Эрикис'}}",,,196341,11,11,F,False,15.0,13.0,1.0,1.0,0.0,9.0,9.0,4.0,6.0,,1.0,,,,,90.0,23.0,7.4,5.0,0.00608646,54.481388045453,5.0,-20.321955055073,1.0,"{'original': 7.4, 'alternative': 7.2}",3,,-0.03,0.2,0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",,1.0,,,,1.0,,0.1692,,0.48,1.0,1.0,,0.6973,9.6640557635827,12.102540270538,3.0,,,,1.0,1.0,2.0,1.0,,,2.0,1.0,,,,,,,,,,,Jiangxi Dingnan United,,15657889
