name,position,jerseyNumber,minutesPlayed,rating,captain,goals,goalAssist,expectedGoals,expectedAssists,totalShots,onTargetScoringAttempt,shotOffTarget,blockedScoringAttempt,bigChanceCreated,keyPass,totalCross,accurateCross,totalPass,accuratePass,totalLongBalls,accurateLongBalls,wonTackle,totalTackle,interceptionWon,totalClearance,ballRecovery,aerialWon,aerialLost,duelWon,duelLost,wonContest,challengeLost,touches,possessionLostCtrl,dispossessed,unsuccessfulTouch,fouls,wasFouled,totalOffside,match_id
Jia Du,G,1,90.0,6.7,,,0.0,,0.00170351,0,,,,,,,,34.0,27.0,17.0,10.0,,,,3.0,7.0,1.0,,2.0,,,,42.0,7.0,,,,2.0,,15657909
Wang Sihan,D,27,90.0,7.1,,,0.0,,0.0114838,0,,,,,,2.0,,69.0,53.0,12.0,3.0,,,,7.0,1.0,8.0,3.0,8.0,3.0,,,84.0,20.0,,1.0,,,,15657909
Daciel Santos,D,4,90.0,6.5,,,0.0,,0.0114204,0,,,,,,,,68.0,59.0,6.0,4.0,,1.0,1.0,4.0,1.0,3.0,4.0,5.0,5.0,,,79.0,10.0,,1.0,1.0,1.0,,15657909
Yujie Zhang,D,2,90.0,6.6,,,0.0,,0.0304649,0,,,,,1.0,5.0,1.0,19.0,16.0,,,,1.0,1.0,3.0,1.0,,,2.0,3.0,,1.0,41.0,10.0,,2.0,2.0,1.0,,15657909
Erikys,F,11,90.0,8.2,,1.0,0.0,0.3337,0.0230622,3,2.0,1.0,,,,,,16.0,11.0,,,,,,,1.0,4.0,,8.0,,,,31.0,11.0,,6.0,,4.0,,15657909
Manuel Palacios,M,7,90.0,6.1,,,1.0,0.0572,0.0837764,2,,1.0,1.0,1.0,1.0,1.0,1.0,18.0,13.0,1.0,,1.0,1.0,2.0,,1.0,1.0,1.0,5.0,11.0,1.0,2.0,37.0,14.0,1.0,3.0,2.0,2.0,,15657909
Zhu Jiaxuan,M,6,82.0,6.8,,,0.0,,0.009185,0,,,,,,,,41.0,35.0,6.0,2.0,1.0,1.0,1.0,2.0,2.0,,3.0,2.0,3.0,,,47.0,6.0,,,1.0,1.0,,15657909
Su Gao,M,22,82.0,7.0,,,0.0,0.0252,0.0128722,1,,1.0,,,,1.0,,49.0,42.0,4.0,2.0,1.0,3.0,,1.0,2.0,2.0,1.0,7.0,4.0,,,59.0,10.0,1.0,1.0,2.0,2.0,,15657909
Fan Bojian,M,18,70.0,6.9,True,,0.0,,0.0729216,0,,,,,1.0,,,21.0,18.0,,,,,1.0,,3.0,2.0,1.0,5.0,4.0,,,29.0,6.0,1.0,1.0,1.0,3.0,,15657909
Li Zhi,D,16,70.0,7.0,,,0.0,0.0099,0.0287137,1,,1.0,,,1.0,2.0,1.0,52.0,43.0,9.0,5.0,,,3.0,,4.0,,,2.0,4.0,,,71.0,13.0,1.0,1.0,3.0,2.0,,15657909
Hu Jiajin,M,21,66.0,6.5,,,0.0,,0.0109926,0,,,,,1.0,1.0,,13.0,11.0,1.0,,,1.0,,,2.0,,1.0,3.0,3.0,,1.0,21.0,6.0,1.0,2.0,,2.0,,15657909
Shi Tang,M,10,24.0,6.7,,,0.0,0.0274,0.00088845,1,,1.0,,,,1.0,,4.0,4.0,,,1.0,2.0,,,,,,4.0,1.0,,,13.0,3.0,1.0,1.0,,2.0,,15657909
Hao Yucheng,D,34,20.0,6.5,,,0.0,,0.00057093,0,,,,,,,,5.0,4.0,1.0,1.0,1.0,1.0,,,1.0,,,2.0,2.0,,1.0,14.0,3.0,,2.0,1.0,1.0,,15657909
Chenghao Ma,M,9,20.0,6.3,,,0.0,,,0,,,,,,,,,,,,,,,,,,,,2.0,,,6.0,5.0,1.0,3.0,1.0,,1.0,15657909
Du Junpeng,D,23,8.0,6.4,,,0.0,,1.05e-06,0,,,,,,,,1.0,1.0,,,,,,2.0,,1.0,,1.0,,,,3.0,,,,,,,15657909
Po Liang Chen,M,17,8.0,6.7,,,0.0,,0.00010161,0,,,,,,,,3.0,3.0,,,,,,3.0,,,,1.0,,,,7.0,,,,,1.0,,15657909
Yuanming Xiao,G,31,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15657909
Chen Yang,G,24,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15657909
Jiahao Yan,D,33,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15657909
Mingxin Zhu,D,3,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15657909
Yetong Cheng,D,28,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15657909
Zimin Zhang,M,8,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15657909
Yuchen Han,F,19,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15657909
