nombre,pos,partidos,minutos,rating,goles,asistencias,G_A,xg,tiros,pases_clave,pases_prop_tot,pases_prop_ok,pases_prop_err,pct_prop,pases_cc_tot,pases_cc_ok,pases_cc_err,pct_cc,lb_tot,lb_ok,lb_err,pct_lb,duelos_tot,duelos_gan,duelos_per,pct_duelos,aereos_tot,aereos_gan,aereos_per,pct_aereos
Daciel Santos,D,6,540.0,7.13,2.0,0.0,2.0,0.68,3,4.0,25.33,22.0,3.33,86.84,11.5,7.67,3.83,66.67,5.33,2.33,3.0,43.75,8.83,6.17,2.67,69.81,3.67,2.5,1.17,68.18
Wang Sihan,D,6,525.0,6.35,0.0,0.0,0.0,0.16,4,0.0,27.83,26.0,1.83,93.41,13.83,10.5,3.33,75.9,4.33,2.5,1.83,57.69,5.5,2.83,2.67,51.52,2.0,0.83,1.17,41.67
Erikys,F,5,450.0,7.34,3.0,0.0,3.0,1.53,17,3.0,5.8,5.0,0.8,86.21,8.8,6.8,2.0,77.27,1.6,1.4,0.2,87.5,9.2,4.4,4.8,47.83,3.4,1.4,2.0,41.18
Hu Jiajin,M,6,434.0,6.58,0.0,1.0,1.0,0.12,4,4.0,8.5,7.5,1.0,88.24,8.83,5.67,3.17,64.15,1.67,0.83,0.83,50.0,3.5,1.5,2.0,42.86,0.83,0.17,0.67,20.0
Zhu Jiaxuan,M,6,427.0,6.58,1.0,1.0,2.0,0.76,1,2.0,15.17,13.67,1.5,90.11,11.0,7.0,4.0,63.64,4.33,2.33,2.0,53.85,3.67,1.17,2.5,31.82,1.0,0.5,0.5,50.0
Li Zhi,D,5,376.0,6.54,0.0,0.0,0.0,0.0,0,5.0,9.0,6.8,2.2,75.56,19.2,11.0,8.2,57.29,7.4,2.6,4.8,35.14,5.4,3.0,2.4,55.56,1.0,0.8,0.2,80.0
Manuel Palacios,M,5,340.0,6.8,0.0,1.0,1.0,0.15,2,7.0,5.2,4.8,0.4,92.31,14.6,11.0,3.6,75.34,2.0,1.2,0.8,60.0,8.8,3.8,5.0,43.18,1.4,0.6,0.8,42.86
Du Junpeng,D,4,315.0,6.2,0.0,2.0,2.0,0.0,0,4.0,17.25,16.0,1.25,92.75,15.0,9.75,5.25,65.0,5.5,2.25,3.25,40.91,3.5,1.75,1.75,50.0,0.0,0.0,0.0,0.0
Yujie Zhang,D,4,315.0,6.58,0.0,0.0,0.0,0.01,1,1.0,6.0,4.5,1.5,75.0,8.25,4.25,4.0,51.52,3.75,0.75,3.0,20.0,4.0,2.5,1.5,62.5,0.25,0.25,0.0,100.0
Zimin Zhang,M,6,311.0,6.82,2.0,0.0,2.0,0.16,3,2.0,6.83,6.17,0.67,90.24,9.67,7.83,1.83,81.03,2.5,1.17,1.33,46.67,3.5,1.33,2.17,38.1,0.67,0.0,0.67,0.0
Fan Bojian,M,6,303.0,6.52,0.0,0.0,0.0,0.17,5,3.0,4.33,4.17,0.17,96.15,8.33,5.5,2.83,66.0,0.83,0.67,0.17,80.0,2.67,1.83,0.83,68.75,0.17,0.17,0.0,100.0
Yuanming Xiao,G,4,293.0,6.4,0.0,0.0,0.0,0.0,0,0.0,11.25,9.0,2.25,80.0,11.25,3.25,8.0,28.89,14.0,4.25,9.75,30.36,1.5,1.25,0.25,83.33,0.75,0.75,0.0,100.0
