player id,team id,player,team,posicion,Edad,appearances,minutesPlayed,rating,goals,assists,goalsAssistsSum,penaltyGoals,expectedGoals,expectedAssists,totalShots,shotsOnTarget,shotsOffTarget,bigChancesCreated,keyPasses,totalPasses,accuratePassesPercentage,successfulDribbles,tackles,interceptions,ballRecovery,clearances,blockedShots,totalDuelsWon,duelLost,wasFouled,fouls,yellowCards,redCards,ownGoals,goals_per90,assists_per90,goalsAssistsSum_per90,expectedGoals_per90,expectedAssists_per90,totalShots_per90,shotsOnTarget_per90,keyPasses_per90,successfulDribbles_per90,tackles_per90,interceptions_per90,ballRecovery_per90,totalDuelsWon_per90,wasFouled_per90,fouls_per90,yellowCards_per90,redCards_per90
139300,510606,Nikão,Guangdong GZ-Power,Delantero,34,22,1980,8.02,8,8,16,1,5.56,6.24,69,23,17,12,71,1050,85.14,31,16,7,116,8,29,155,118,77,16,2,0,0,0.36,0.36,0.73,0.25,0.28,3.14,1.05,3.23,1.41,0.73,0.32,5.27,7.05,3.5,0.73,0.09,0.0
902987,510605,Loïc Lapoussin,Guangxi Hengchen FC,Mediocampista,30,19,1689,7.93,9,7,16,0,9.89,4.71,64,25,16,6,55,1033,80.35,70,16,19,110,10,23,178,196,65,24,1,0,0,0.48,0.37,0.85,0.53,0.25,3.41,1.33,2.93,3.73,0.85,1.01,5.86,9.48,3.46,1.28,0.05,0.0
797649,382025,Giovanny,Yanbian Longding,Delantero,28,18,1604,7.78,14,2,16,3,7.81,1.63,56,27,17,2,17,532,78.38,36,6,5,51,9,12,102,91,42,7,3,0,0,0.79,0.11,0.9,0.44,0.09,3.14,1.51,0.95,2.02,0.34,0.28,2.86,5.72,2.36,0.39,0.17,0.0
1564503,382025,Joaquim Domingos,Yanbian Longding,Mediocampista,26,21,1890,7.78,4,9,13,0,0.7,3.3,17,8,7,6,45,1004,79.58,19,39,17,149,29,2,219,146,136,54,9,0,0,0.19,0.43,0.62,0.03,0.16,0.81,0.38,2.14,0.9,1.86,0.81,7.1,10.43,6.48,2.57,0.43,0.0
114442,510603,Rade Dugalić,Shenzhen Juniors FC,Defensor,33,18,1620,7.68,6,1,7,0,2.1,0.52,30,10,14,0,5,1194,84.17,3,27,36,132,123,6,113,76,7,31,5,0,0,0.33,0.06,0.39,0.12,0.03,1.67,0.56,0.28,0.17,1.5,2.0,7.33,6.28,0.39,1.72,0.28,0.0
860148,510602,Daleho Irandust,Shaanxi Union FC,Mediocampista,28,20,1778,7.53,8,6,14,1,5.59,4.98,55,19,26,11,54,684,80.41,18,24,7,91,5,10,106,109,49,31,2,0,0,0.4,0.3,0.71,0.28,0.25,2.78,0.96,2.73,0.91,1.21,0.35,4.61,5.37,2.48,1.57,0.1,0.0
886916,34694,Juan Camilo Salazar,Changchun Yatai,Delantero,29,18,1355,7.52,10,4,14,0,6.17,2.58,50,25,13,3,23,463,74.3,28,13,4,65,4,12,86,106,35,29,3,0,0,0.66,0.27,0.93,0.41,0.17,3.32,1.66,1.53,1.86,0.86,0.27,4.32,5.71,2.32,1.93,0.2,0.0
836606,510605,Rati Ardazashvili,Guangxi Hengchen FC,Mediocampista,28,18,1262,7.45,5,6,11,1,4.92,3.25,48,14,15,7,36,584,82.88,54,3,7,69,3,19,117,120,33,23,4,0,0,0.36,0.43,0.78,0.35,0.23,3.42,1.0,2.57,3.85,0.21,0.5,4.92,8.34,2.35,1.64,0.29,0.0
870665,196341,Erikys,Jiangxi Dingnan United,Delantero,31,19,1710,7.36,13,1,14,3,9.35,0.88,62,30,25,1,15,309,77.99,15,3,6,33,14,7,110,121,56,20,4,0,0,0.68,0.05,0.74,0.49,0.05,3.26,1.58,0.79,0.79,0.16,0.32,1.74,5.79,2.95,1.05,0.21,0.0
136169,34694,Ohi Omoijuanfo,Changchun Yatai,Delantero,32,20,1755,7.33,8,10,18,1,6.5,3.93,52,19,24,11,29,566,78.98,22,6,2,55,20,9,121,156,35,34,1,0,0,0.41,0.51,0.92,0.33,0.2,2.67,0.97,1.49,1.13,0.31,0.1,2.82,6.21,1.79,1.74,0.05,0.0
1092323,251278,Efmamjjasond González,Nantong Zhiyun,Delantero,27,9,699,7.29,7,1,8,2,5.39,0.42,36,15,11,0,6,104,62.5,8,1,0,18,11,10,43,50,21,19,1,0,0,0.9,0.13,1.03,0.69,0.05,4.64,1.93,0.77,1.03,0.13,0.0,2.32,5.54,2.7,2.45,0.13,0.0
850947,510603,Haoran Zhong,Shenzhen Juniors FC,Mediocampista,31,13,1084,7.28,0,2,2,0,0.83,0.55,11,3,3,0,7,716,86.73,2,18,24,88,12,5,55,62,23,23,5,0,0,0.0,0.17,0.17,0.07,0.05,0.91,0.25,0.58,0.17,1.49,1.99,7.31,4.57,1.91,1.91,0.42,0.0
845077,510603,Rodrigo Henrique,Shenzhen Juniors FC,Mediocampista,33,18,1546,7.28,5,2,7,1,3.98,3.23,40,13,15,1,20,591,79.19,54,8,5,61,9,12,146,172,60,28,6,0,0,0.29,0.12,0.41,0.23,0.19,2.33,0.76,1.16,3.14,0.47,0.29,3.55,8.5,3.49,1.63,0.35,0.0
846830,196341,Shi Tang,Jiangxi Dingnan United,Mediocampista,31,16,1206,7.27,4,4,8,0,1.94,2.47,26,11,11,1,22,387,73.64,7,7,8,57,10,4,36,47,14,9,1,1,0,0.3,0.3,0.6,0.14,0.18,1.94,0.82,1.64,0.52,0.52,0.6,4.25,2.69,1.04,0.67,0.07,0.07
945971,510602,Rayan El Azrak,Shaanxi Union FC,Mediocampista,27,19,1496,7.26,5,3,8,1,2.73,2.14,32,11,6,3,26,526,85.55,29,11,3,62,14,15,75,58,23,10,2,0,0,0.3,0.18,0.48,0.16,0.13,1.93,0.66,1.56,1.74,0.66,0.18,3.73,4.51,1.38,0.6,0.12,0.0
850756,382024,Higor  Vidal,Shijiazhuang Gongfu,Delantero,29,14,1059,7.23,3,4,7,0,1.32,1.38,18,6,8,5,26,418,77.51,8,10,10,64,4,4,67,61,39,13,1,0,0,0.25,0.34,0.59,0.11,0.12,1.53,0.51,2.21,0.68,0.85,0.85,5.44,5.69,3.31,1.1,0.08,0.0
